Название;Ссылка;Краткое содержание
В Башкирии насчитывается 29 проблемных объектов строительства;http://www.bashinform.ru/news/1120793-v-bashkirii-naschityvaetsya-29-problemnykh-obektov-stroitelstva/; В Уфе 22 февраля на очередном заседании Госсобрания Башкортостана перед депутатами с отчетом о состоянии правопорядка в регионе выступил министр внутренних дел по РБ Роман Деев.
Госдума продлила «дачную амнистию» до 1 марта 2020 года;http://www.bashinform.ru/news/1120818-gosduma-podlila-dachnuyu-amnistiyu-do-1-marta-2020-goda/; Госдума приняла закон о продлении сроков действия «дачной амнистии» в отношении объектов индивидуального жилищного строительства до 1 марта 2020 года, сообщает РИА Новости.
Внимание автовладельцам: 22 февраля начали действовать новые правила прохождения техосмотра;http://www.bashinform.ru/news/1120802-vnimanie-avtovladeltsam-22-fevralya-nachali-deystvovat-novye-pravila-prokhozhdeniya-tekhosmotra/; Сегодня, 22 февраля, начали действовать новые правила прохождения техосмотра для автомобилей. В документе говорится, что для правильного техосмотра в авто кроме огнетушителя и знака аварийной остановки, также должна быть аптечка.
В Башкирии мировые судьи наложили штрафов на 1,38 млрд рублей;http://www.bashinform.ru/news/1120763-v-bashkirii-mirovye-sudi-nalozhili-shtrafov-na-1-38-mlrd-rubley/; В Башкирии в 2017 году мировые судьи наложили штрафов на 1 млрд рублей. За год они рассмотрели свыше 576 тысяч дел (на 5,6 % больше, чем в 2016-м). Почти 161 тыс. дел касались административных правонарушений (на 3,6% меньше, чем в 2016 году).
Никто не узнает о Башкортостане, если он сам о себе не расскажет - эксперт;http://www.bashinform.ru/news/1120754-nikto-ne-uznaet-o-bashkortostane-esli-on-sam-o-sebe-ne-rasskazhet-ekspert/; В Башкортостане продолжается работа по разработке турбренда. К работе привлечен пул российских и иностранных специалистов. Коммерческий директор дизайн-студии Province и бренд-агентства LOVEMEDO Артемий Фоминых считает разработку турбренда полезным занятием для любого региона.
В Башкирии распродается недвижимость должников;http://www.bashinform.ru/news/1120745-v-bashkirii-rasprodaetsya-nedvizhimost-dolzhnikov/; В Башкортостане 6 марта пройдут торги по реализации арестованных квартир должников. Об этом сообщает служба судебных приставов РБ. В Белебее по улице Красной, 109/1, в 15.
В Башкирии сократят 199 сотрудников ГИБДД;http://www.bashinform.ru/news/1120740-v-bashkirii-sokratyat-199-sotrudnikov-gibdd/; В Башкортостане сократят 199 сотрудников Госавтоинспекции. Об этом на очередном заседании Госсобрания РБ 22 февраля сообщил министр внутренних дел по региону Роман Деев.
В Год семьи в Башкирии появятся льготные семейные тарифы и родительский «телефон доверия»;http://www.bashinform.ru/news/1120722-v-god-semi-v-bashkirii-poyavyatsya-lgotnye-semeynye-tarify-i-roditelskiy-telefon-doveriya/; На заседании Правительства республики, которое провёл Глава Башкортостана Рустэм Хамитов, был рассмотрен план мероприятий по проведению в регионе Года семьи. План, подготовленный Министерством семьи, труда и социальной защиты населения, представила министр Ленара Иванова.
Минсельхоз Башкирии планирует занять в сельхозпотребкооперации более 900 тысяч жителей республики;http://www.bashinform.ru/news/1120710-minselkhoz-bashkirii-planiruet-zanyat-v-selkhozpotrebkooperatsii-bolee-900-tysyach-zhiteley-respubli/; Более 900 тысяч жителей республики возможно занять в сельхозпотребкооперации, сообщил на заседании правительства РБ вице-премьер и министр сельского хозяйства Ильшат Фазрахманов.
Десятки домов Уфы на следующей неделе останутся без воды;http://www.bashinform.ru/news/1120701-desyatki-domov-ufy-na-sleduyushchey-nedele-ostanutsya-bez-vody/;" Предприятие «Уфаводоканал» сообщило об отключении холодной воды на следующей неделе из-за проведения ремонтных работ. Так, в Ленинском районе 27 февраля с 11 до 19 часов будет отключена вода у следующих потребителей: Второй переулок Жуковского, 38, 38а;"
В Башкирии появится родник имени генерала Шаймуратова;http://www.bashinform.ru/news/1120675-v-bashkirii-poyavitsya-rodnik-imeni-generala-shaymuratova/; В Кармаскалинском районе Башкортостана, на окраине села Шаймуратово, идут работы по благоустройству родника, которому планируется присвоить имя командира 112-й Башкирской кавалерийской дивизии генерала Минигали Шаймуратова.
В Башкирии мужчины претендуют на зарплату выше среднерыночной;http://www.bashinform.ru/news/1120670-v-bashkirii-muzhchiny-pretenduyut-na-zarplatu-vyshe-srednerynochnoy/; В Башкирии мужчины претендуют на зарплату выше среднерыночной, выяснили аналитики рынка труда. Кроме того, существуют преимущественно мужские сферы деятельности, указали в крупном агентстве HeadHunter.
В парламенте Башкирии появился новый депутат;http://www.bashinform.ru/news/1120647-v-parlamente-bashkirii-poyavilsya-novyy-deputat/; В Госсобрании - Курултае РБ произошли численные изменения. Новым депутатом Комитета по местному самоуправлению, развитию институтов гражданского общества и средствами массовой информации стал председатель молодежной общественной палаты при Госсобрании РБ Тагир Гизатуллин.
В Башкирии в сельской школе учителя получали выплаты по очереди;http://www.bashinform.ru/news/1120650-v-bashkirii-v-selskoy-shkole-uchitelya-poluchali-vyplaty-po-ocheredi/; Педагоги школы села Балтика Иглинского района получали выплаты за заведование своим кабинетом по очереди. Это выяснили сотрудники Гострудинспекции РБ в ходе внеплановой проверки.
Выплаты вкладчикам уфимского «УралКапиталБанка» начнутся с 28 февраля;http://www.bashinform.ru/news/1120627-vyplaty-vkladchikam-ufimskogo-uralkapitalbanka-nachnutsya-s-28-fevralya/; ПАО «Банк Уралсиб» признано победителем конкурса по отбору банков-агентов для выплаты возмещения по вкладам вкладчикам, в том числе индивидуальным предпринимателям, уфимского банка «УралКапиталБанк».
График работы почты в праздничные дни;http://www.bashinform.ru/news/1120618-grafik-raboty-pochty-v-prazdnichnye-dni/; В Башкирии в четверг, 22 февраля, и в среду, 7 марта, во всех почтовых отделениях рабочий день сокращается на 1 час. 23 февраля и 8 марта — выходные. В субботу, 24 февраля, и в пятницу, 9 марта, — почта работает по графику субботы.
Возле уфимского Горсовета построили новый дом;http://www.bashinform.ru/news/1120378-vozle-ufimskogo-gorsoveta-postroili-novyy-dom/; По итогам 2017 года Уфа вновь подтвердила репутацию одного из самых активно застраиваемых мегаполисов в Приволжском федеральном округе. Так, в прошлом году в столице Башкортостана было введено в эксплуатацию более 675 тысяч квадратных метров жилья.
Парламентарии Башкирии заслушают министра внутренних дел и примут поправки в бюджет;http://www.bashinform.ru/news/1120596-parlamentarii-bashkirii-zaslushayut-ministra-vnutrennikh-del-i-primut-popravki-v-byudzhet/; В четверг, 22 февраля, состоится очередное заседание Государственного Собрания - Курултая РБ. Перед депутатами выступит министр внутренних дел республики Роман Деев.
Синоптики рассказали о погоде в Уфе до конца февраля;http://www.bashinform.ru/news/1120594-sinoptiki-rasskazali-o-pogode-v-ufe-do-kontsa-fevralya/; По данным Гидрометцентра России, до конца календарной зимы характер погоды в Уфе не изменится. Вплоть до 27 февраля в городе будет облачно, ожидается небольшой снег.
Молодых уфимцев научат составлять «выигрышное» резюме;http://www.bashinform.ru/news/1120592-molodykh-ufimtsev-nauchat-sostavlyat-vyigryshnoe-rezyume/; В понедельник, 26 февраля, Центр содействия занятости молодежи Уфы проведет мастер-класс «Выигрышное резюме». Специалисты по трудоустройству расскажут молодым людям, как составить «правильное» резюме, которое сможет заинтересовать потенциального работодателя.
В выходные в Уфе пройдут сельскохозяйственные ярмарки;http://www.bashinform.ru/news/1120584-v-vykhodnye-v-ufe-proydut-selskokhozyaystvennye-yarmarki/; В субботу, 24 февраля, уфимцев и гостей столицы Башкирии ждут на сельскохозяйственных ярмарках. Мероприятия пройдут на трех площадках города: - на площадке трамвайного кольца рядом с домом №2 по ул.
Фонтан, велороллерная дорожка или сцена на центральной площади: жители Янаула сами выберут объекты для благоустройства;http://www.bashinform.ru/news/1120501-fontan-velorollernaya-dorozhka-ili-stsena-na-tsentralnoy-ploshchadi-zhiteli-yanaula-sami-vyberut-obe/; В Башкирии продолжается подготовка к рейтинговому голосованию в рамках проекта «Формирование современной городской среды». Оно пройдет в населенных пунктах, в которых живет более 20 тысяч человек,18 марта - в один день с выборами Президента Российской Федерации.
Почти 40 млн рублей за год взыскали с жителей Башкирии за административные правонарушения;http://www.bashinform.ru/news/1120576-pochti-40-mln-rubley-za-god-vzyskali-s-zhiteley-bashkirii-za-administrativnye-pravonarusheniya/; 54 230 дел об административных правонарушениях - именно столько рассмотрели протоколов комиссии в 2017 году. Такую цифру озвучили на заседании коллегии госкомитета Башкирии по делам юстиции.
Владимир Путин огласит Послание Федеральному Собранию 1 марта;http://www.bashinform.ru/news/1120578-vladimir-putin-oglasit-poslanie-federalnomu-sobraniyu-1-marta/; 1 марта президент России Владимир Путин огласит Послание Федеральному Собранию. Об этом сообщает ТАСС со ссылкой на пресс-секретаря главы государства Дмитрия Пескова.
Баскетбольный клуб «Уфимец» дважды нанес поражение «Тамбову»;http://www.bashinform.ru/news/1120574-basketbolnyy-klub-ufimets-dvazhdy-nanes-porazhenie-tambovu/; 19 и 20 февраля на домашней площадке баскетбольный клуб «Уфимец» одолел команду «Тамбов». В первый день встреча закончилась с разгромным счетом в пользу хозяев — 104:61.
